,Rate
AED,4.075564
AFN,97.642652
ALL,124.102481
AMD,544.232511
ANG,2.001015
AOA,505.428567
ARS,121.510688
AUD,1.504372
AWG,1.997503
AZN,1.886457
BAM,1.964897
BBD,2.241735
BDT,95.509483
BGN,1.956166
BHD,0.418258
BIF,2230.235775
BMD,1.10957
BND,1.504255
BOB,7.633233
BRL,5.592673
BSD,1.110268
BTC,2.7092654e-05
BTN,84.11269
BWP,12.828316
BYN,3.645555
BYR,21747.572731
BZD,2.238018
CAD,1.40101
CDF,2232.99919
CHF,1.039212
CLF,0.032152
CLP,887.168039
CNY,7.042409
COP,4238.191384
CRC,710.195955
CUC,1.10957
CUP,29.403606
CVE,110.457043
CZK,24.7545
DJF,197.192702
DKK,7.444394
DOP,60.970725
DZD,158.002534
EGP,17.435117
ERN,16.643556
ETB,56.455001
EUR,1.0
FJD,2.328655
FKP,0.850995
GBP,0.843292
GEL,3.567275
GGP,0.850995
GHS,7.989238
GIP,0.850995
GMD,59.121565
GNF,9891.816895
GTQ,8.554823
GYD,232.291314
HKD,8.674524
HNL,27.029206
HRK,7.573371
HTG,115.873389
HUF,371.905759
IDR,15890.596332
ILS,3.589304
IMP,0.850995
INR,84.307184
IQD,1619.417469
IRR,46934.812365
ISK,143.089902
JEP,0.850995
JMD,169.779321
JOD,0.786683
JPY,131.494586
KES,126.934122
KGS,115.871626
KHR,4471.567436
KMF,497.365017
KPW,998.613422
KRW,1343.678133
KWD,0.337143
KYD,0.925307
KZT,564.972118
LAK,12762.834268
LBP,1679.889101
LKR,293.662232
LRD,170.320431
LSL,16.654535
LTL,3.276272
LVL,0.671168
LYD,5.165051
MAD,10.851034
MDL,20.406448
MGA,4454.923368
MKD,61.625277
MMK,1974.196993
MNT,3194.200033
MOP,8.940235
MRO,396.116312
MUR,49.197944
MVR,17.154041
MWK,894.866342
MXN,22.77204
MYR,4.6569
MZN,70.824112
NAD,16.654692
NGN,461.869559
NIO,39.611087
NOK,9.752232
NPR,134.580224
NZD,1.610885
OMR,0.427196
PAB,1.110369
PEN,4.141468
PGK,3.894682
PHP,58.080434
PKR,199.171371
PLN,4.681316
PYG,7726.366156
QAR,4.039924
RON,4.947355
RSD,117.692024
RUB,114.424392
RWF,1132.871008
SAR,4.163094
SBD,8.930212
SCR,15.992054
SDG,495.977836
SEK,10.447159
SGD,1.501503
SHP,1.528322
SLL,13004.161192
SOS,649.098196
SRD,22.893201
STD,22965.859559
SVC,9.716229
SYP,2787.240308
SZL,16.65462
THB,36.863802
TJS,14.46106
TMT,3.894591
TND,3.261004
TOP,2.520998
TRY,16.329546
TTD,7.53387
TWD,31.302099
TZS,2570.873925
UAH,32.873187
UGX,3977.525723
USD,1.10957
UYU,47.370509
UZS,12593.620051
VEF,237259607775.82578
VND,25373.092828
VUV,126.620365
WST,2.909344
XAF,659.003869
XAG,0.04377
XAU,0.000571
XCD,2.998668
XDR,0.803716
XOF,662.971934
XPF,120.893736
YER,277.67022
ZAR,16.555295
ZMK,9987.464072
ZMW,19.706836
ZWL,357.281099
